Azerbaijan,Baku,14400
Thailand,Bangkok,25200
Russia,Barnaul,25200
Lebanon,Beirut,10800
Kyrgyzstan,Bishkek,21600
Brunei,Brunei,28800
Russia,Chita,32400
Mongolia,Choibalsan,28800
Sri Lanka,Colombo,19800
Syria,Damascus,10800
Bangladesh,Dhaka,21600
Timor Leste,Dili,32400
United Arab Emirates,Dubai,14400
Tajikistan,Dushanbe,18000
Cyprus,Famagusta,10800
Palestinian Territory,Gaza,7200
Palestinian Territory,Hebron,7200
Vietnam,Ho_Chi_Minh,25200
Hong Kong,Hong_Kong,28800
Mongolia,Hovd,25200
Russia,Irkutsk,28800
Indonesia,Jakarta,25200
Indonesia,Jayapura,32400
Israel,Jerusalem,10800
Afghanistan,Kabul,16200
Russia,Kamchatka,43200
Pakistan,Karachi,18000
Nepal,Kathmandu,20700
Russia,Khandyga,32400
India,Kolkata,19800
Russia,Krasnoyarsk,25200
Malaysia,Kuala_Lumpur,28800
Malaysia,Kuching,28800
Kuwait,Kuwait,10800
Macao,Macau,28800
Russia,Magadan,39600
Indonesia,Makassar,28800
Philippines,Manila,28800
Oman,Muscat,14400
Cyprus,Nicosia,10800
Russia,Novokuznetsk,25200
Russia,Novosibirsk,25200
Russia,Omsk,21600
Kazakhstan,Oral,18000
Cambodia,Phnom_Penh,25200
Indonesia,Pontianak,25200
North Korea,Pyongyang,32400
Qatar,Qatar,10800
Kazakhstan,Qostanay,18000
Kazakhstan,Qyzylorda,18000
Saudi Arabia,Riyadh,10800
Russia,Sakhalin,39600
Uzbekistan,Samarkand,18000
South Korea,Seoul,32400
China,Shanghai,28800
Singapore,Singapore,28800
Russia,Srednekolymsk,39600
Taiwan,Taipei,28800
Uzbekistan,Tashkent,18000
Georgia,Tbilisi,14400
Iran,Tehran,12600
Bhutan,Thimphu,21600
Japan,Tokyo,32400
Russia,Tomsk,25200
Mongolia,Ulaanbaatar,28800
China,Urumqi,21600
Russia,Ust-Nera,36000
Laos,Vientiane,25200
Russia,Vladivostok,36000
Russia,Yakutsk,32400
Myanmar,Yangon,23400
Russia,Yekaterinburg,18000
Armenia,Yerevan,14400
Portugal,Azores,0
Bermuda,Bermuda,-10800
Spain,Canary,3600
Cabo Verde,Cape_Verde,-3600
Faroe Islands,Faroe,3600
Portugal,Madeira,3600
Iceland,Reykjavik,0
South Georgia and the South Sandwich Islands,South_Georgia,-7200
Saint Helena,St_Helena,0
Falkland Islands,Stanley,-10800
Australia,Adelaide,37800
Australia,Brisbane,36000
Australia,Broken_Hill,37800
Australia,Darwin,34200
Australia,Eucla,31500
Australia,Hobart,39600
Australia,Lindeman,36000
Australia,Lord_Howe,39600
Australia,Melbourne,39600
Australia,Perth,28800
Australia,Sydney,39600
Netherlands,Amsterdam,7200
Andorra,Andorra,7200
Russia,Astrakhan,14400
Greece,Athens,10800
Serbia,Belgrade,7200
Germany,Berlin,7200
Slovakia,Bratislava,7200
Belgium,Brussels,7200
Romania,Bucharest,10800
Hungary,Budapest,7200
Germany,Busingen,7200
Moldova,Chisinau,10800
Denmark,Copenhagen,7200
Ireland,Dublin,3600
Gibraltar,Gibraltar,7200
Guernsey,Guernsey,3600
Finland,Helsinki,10800
